Designator,Mid X,Mid Y,Rotation,Layer
C1,139.3,-105.9,180.0,bottom
C2,134.239,-100.965,0.0,bottom
C3,104.915,-101.981,0.0,bottom
C4,104.902,-106.553,180.0,bottom
C5,106.934,-99.06,180.0,bottom
C6,124.587,-98.933,180.0,bottom
C7,134.633,-96.52,0.0,bottom
D1,123.444,-109.22,0.0,bottom
D2,131.318,-103.124,0.0,bottom
F1,116.84,-106.045,90.0,bottom
J1,120.65,-109.22,90.0,top
J2,119.375,-97.2725,270.0,top
J3,140.95,-97.045,0.0,top
J4,99.06,-97.2725,270.0,top
R1,124.206,-106.934,0.0,bottom
R2,134.366,-103.124,0.0,bottom
SW1,116.825,-109.22,90.0,top
U1,99.0,-104.475,90.0,bottom
U2,140.825,-102.7,0.0,bottom
